Time,Delhi,Kolkata,Mumbai,Chennai
17-10-2019,73.27,75.92,78.88,76.09
18-10-2019,73.27,75.92,78.88,76.09
19-10-2019,73.27,75.92,78.88,76.09
20-10-2019,73.27,75.92,78.88,76.09
21-10-2019,73.27,75.92,78.88,76.09
22-10-2019,73.22,75.87,78.83,76.04
23-10-2019,73.22,75.87,78.83,76.04
24-10-2019,73.17,75.82,78.78,75.99
25-10-2019,73.06,75.71,78.68,75.87
26-10-2019,72.98,75.63,78.6,75.79
27-10-2019,72.98,75.63,78.6,75.79
28-10-2019,72.98,75.63,78.6,75.79
29-10-2019,72.92,75.57,78.54,75.72
30-10-2019,72.92,75.57,78.54,75.72
31-10-2019,72.92,75.57,78.54,75.72
01-11-2019,72.86,75.55,78.51,75.69
02-11-2019,72.81,75.52,78.48,75.67
03-11-2019,72.74,75.45,78.42,75.59
04-11-2019,72.65,75.37,78.33,75.5
05-11-2019,72.6,75.32,78.28,75.45
06-11-2019,72.6,75.32,78.28,75.45
07-11-2019,72.6,75.32,78.28,75.45
08-11-2019,72.7,75.41,78.38,75.55
09-11-2019,72.85,75.56,78.52,75.71
10-11-2019,73.05,75.76,78.72,75.92
11-11-2019,73.2,75.91,78.87,76.08
12-11-2019,73.3,76,78.97,76.18
13-11-2019,73.3,76,78.97,76.18
14-11-2019,73.45,76.15,79.12,76.34
15-11-2019,73.63,76.33,79.3,76.53
16-11-2019,73.77,76.47,79.44,76.68
18-11-2019,74.05,76.74,79.71,76.97
19-11-2019,74.2,76.89,79.86,77.13
20-11-2019,74.2,76.89,79.86,77.13
21-11-2019,74.2,76.89,79.86,77.13
22-11-2019,74.35,77.04,80.01,77.29
23-11-2019,74.44,77.12,80.1,77.38
24-11-2019,74.54,77.22,80.2,77.49
25-11-2019,74.66,77.34,80.32,77.62
26-11-2019,74.76,77.44,80.42,77.72
27-11-2019,74.76,77.44,80.42,77.72
28-11-2019,74.76,77.44,80.42,77.72
29-11-2019,74.81,77.49,80.46,77.77
30-11-2019,74.86,77.54,80.51,77.83
01-12-2019,74.91,77.61,80.59,77.91
02-12-2019,74.91,77.61,80.59,77.91
03-12-2019,74.91,77.61,80.59,77.91
04-12-2019,74.91,77.61,80.59,77.91
05-12-2019,74.91,77.61,80.59,77.91
06-12-2019,74.86,77.54,80.51,77.83
07-12-2019,74.86,77.54,80.51,77.83
08-12-2019,74.95,77.62,80.6,77.92
09-12-2019,75,77.67,80.65,77.97
10-12-2019,75,77.67,80.65,77.97
11-12-2019,75,77.67,80.65,77.97
12-12-2019,74.95,77.61,80.6,77.92
13-12-2019,74.89,77.55,80.54,77.86
14-12-2019,74.84,77.5,80.49,77.81
15-12-2019,74.74,77.4,80.4,77.7
16-12-2019,74.69,77.35,80.35,77.65
17-12-2019,74.63,77.29,80.29,77.58
18-12-2019,74.63,77.29,80.29,77.58
19-12-2019,74.63,77.29,80.29,77.58
20-12-2019,74.63,77.29,80.29,77.58
21-12-2019,74.63,77.29,80.29,77.58
22-12-2019,74.63,77.29,80.29,77.58
23-12-2019,74.63,77.29,80.29,77.58
24-12-2019,74.63,77.29,80.29,77.58
25-12-2019,74.63,77.29,80.29,77.58
26-12-2019,74.68,77.34,80.34,77.64
27-12-2019,74.74,77.4,80.4,77.7
28-12-2019,74.74,77.4,80.4,77.7
29-12-2019,74.88,77.54,80.53,77.85
30-12-2019,75.04,77.7,80.69,78.02
31-12-2019,75.14,77.79,80.79,78.12
