Delhi,Kolkata,Mumbai,Chennai
76.78,79.51,84.22,79.76
76.62,79.39,84.06,79.59
76.47,79.27,83.91,79.43
76.37,79.2,83.82,79.33
76.3,79.15,83.75,79.25
76.23,79.1,83.68,79.18
76.23,79.1,83.68,79.18
76.23,79.1,83.68,79.18
76.23,79.1,83.68,79.18
76.16,79.05,83.61,79.11
76.16,79.05,83.61,79.11
76.25,79.14,83.7,79.2
76.31,79.2,83.76,79.26
76.31,79.2,83.76,79.26
76.43,79.33,83.87,79.39
76.5,79.42,83.94,79.46
76.7,79.62,84.14,79.68
76.85,79.77,84.29,79.83
76.97,79.89,84.41,79.96
77.06,80,84.5,80.05
77.06,80,84.5,80.05
77.06,80,84.5,80.05
77.13,80.09,84.57,80.13
77.23,80.18,84.67,80.23
77.23,80.18,84.67,80.23
77.14,80.1,84.58,80.14
77.14,80.1,84.58,80.14
77.14,80.1,84.58,80.14
77.2,80.14,84.63,80.19
77.2,80.14,84.63,80.19
77.28,80.22,84.71,80.28
77.4,80.34,84.82,80.4
77.49,80.43,84.91,80.5
77.58,80.52,85,80.59
77.58,80.52,85,80.59
77.58,80.52,85,80.59
77.67,80.61,85.09,80.69
77.67,80.61,85.09,80.69
77.78,80.71,85.2,80.8
77.91,80.84,85.33,80.94
78.05,80.98,85.47,81.09
78.18,81.11,85.6,81.22
78.3,81.23,85.72,81.35
78.52,81.44,85.93,81.58
78.68,81.6,86.09,81.75
78.84,81.76,86.25,81.92
79.15,82.06,86.56,82.24
79.31,82.22,86.72,82.41
79.31,82.22,86.72,82.41
79.51,82.41,86.91,82.62
79.99,82.88,87.39,83.13
80.38,83.27,87.77,83.54
80.5,83.39,87.89,83.66
80.73,83.61,88.12,83.91
80.87,83.75,88.26,84.05
80.87,82.74,88.26,84.05
81,82.87,88.39,84.19
81.28,83.14,88.67,84.49
81.63,83.49,89.01,84.85
81.91,83.76,89.29,85.15
82.06,83.91,89.44,85.31
82.16,84.01,89.54,85.41
82.16,84.01,89.54,85.41
82.22,84.07,89.6,85.48
82.32,84.16,89.69,85.58
82.44,84.27,89.8,85.69
82.61,84.44,89.97,85.87
82.72,84.54,90.08,85.99
82.86,84.68,90.22,86.13
82.86,84.68,90.22,86.13
83,84.82,90.35,86.28
83.22,85.03,90.57,86.51
83.4,85.21,90.75,86.7
83.49,85.3,90.84,86.8
83.73,85.53,91.08,87.05
83.85,85.65,91.2,87.18
83.85,85.65,91.2,87.18
84,85.8,91.34,87.33
81.5,83.3,86.97,84.7
81.68,83.52,87.15,84.89
81.82,83.66,87.29,85.04
82.03,83.87,87.5,85.26
82.26,84.09,87.73,85.5
82.26,84.09,87.73,85.5
82.36,84.19,87.82,85.61
82.48,84.31,87.94,85.73
82.66,84.48,88.12,85.92
82.72,84.54,88.18,85.99
82.72,84.54,88.18,85.99
82.83,84.65,88.29,86.1
82.83,84.65,88.29,86.1
82.62,84.44,88.08,85.88
82.38,84.21,87.84,85.63
81.99,83.83,87.46,85.22
81.74,83.58,87.21,84.96
81.44,83.29,86.91,84.64
81.34,83.19,86.81,84.53
81.25,83.1,86.73,84.44
81.1,82.95,86.58,84.28
80.85,82.71,86.33,84.02
80.45,82.31,85.93,83.6
80.05,81.92,85.54,83.18
79.75,81.63,85.24,82.86
79.55,81.43,85.04,82.65
79.55,81.43,85.04,82.65
79.37,81.25,84.86,82.46
79.18,81.08,84.68,82.26
78.99,80.89,84.49,82.06
78.78,80.68,84.28,81.84
78.56,80.47,84.06,81.61
78.42,80.33,83.92,81.46
78.42,80.33,83.92,81.46
78.21,80.13,83.72,81.24
78.06,79.98,83.57,81.08
77.89,79.81,83.4,80.9
77.73,79.65,83.24,80.73
77.56,79.49,83.07,80.56
77.43,79.36,82.94,80.42
77.43,79.36,82.94,80.42
77.28,79.21,82.8,80.26
77.1,79.04,82.62,80.07
76.91,78.85,82.43,79.87
76.71,78.65,82.23,79.66
76.52,78.47,82.04,79.46
76.38,78.33,81.9,79.31
76.38,78.33,81.9,79.31
75.97,77.93,81.5,78.88
75.57,77.53,81.1,78.46
75.25,77.22,80.79,78.12
74.84,76.82,80.38,77.69
74.49,76.47,80.03,77.32
74.07,76.06,79.62,76.88
73.57,75.57,79.12,76.35
73.24,75.24,78.8,76.01
72.87,74.88,78.43,75.62
72.53,74.55,78.09,75.26
72.23,74.25,77.8,74.94
71.93,73.96,77.5,74.63
71.72,73.75,77.29,74.41
71.72,73.75,77.29,74.41
71.32,73.36,76.9,73.99
70.92,72.97,76.5,73.57
70.7,72.75,76.28,73.33
70.55,72.6,76.13,73.18
70.31,72.37,75.9,72.92
70.2,72.28,75.8,72.82
70.2,73.28,75.8,72.82
70.29,72.38,75.91,72.94
70.29,72.38,75.91,72.94
70.34,72.43,75.96,72.99
70.34,72.43,75.96,72.99
70.53,72.62,76.15,73.19
70.63,72.71,76.25,73.29
70.63,72.71,76.25,73.29
70.63,72.71,76.25,73.29
70.46,72.55,76.08,73.11
70.27,72.36,75.89,72.91
70.07,72.16,75.69,72.7
69.86,71.96,75.48,72.48
69.79,71.89,75.41,72.41
69.79,71.89,75.41,72.41
69.74,71.84,75.36,72.36
69.55,71.65,75.18,72.16
69.26,71.37,74.89,71.85
69.04,71.15,74.67,71.62
68.84,70.96,74.47,71.41
68.65,70.78,74.3,71.22
68.65,70.78,74.3,71.22
68.65,70.78,74.3,71.22
68.44,70.58,74.1,71.01
68.29,70.43,73.95,70.85
68.29,70.43,73.95,70.85
68.5,70.64,74.16,71.07
68.5,70.64,74.16,71.07
68.5,70.64,74.16,71.07
68.88,71.01,74.53,71.47
69.07,71.2,74.72,71.67
69.26,71.39,74.91,71.87
69.75,71.87,75.39,72.39
70.13,72.24,75.77,72.79
70.41,72.52,76.05,73.08
70.33,72.44,75.97,73
70.47,72.58,76.11,73.15
70.55,72.65,76.18,73.23
70.72,72.82,76.35,73.41
70.95,73.05,76.58,73.65
71.14,73.23,76.77,73.85
71.27,73.36,76.9,73.99
71.27,73.36,76.9,73.99
71.27,73.36,76.9,73.99
71.27,73.36,76.9,73.99
71.27,73.36,76.9,73.99
71.27,73.36,76.9,73.99
71.27,73.36,76.9,73.99
71.19,73.28,76.82,73.9
71.19,73.28,76.82,73.9
71.09,73.18,76.72,73.8
70.94,73.04,76.57,73.64
70.84,72.94,76.47,73.54
70.74,72.84,76.37,73.43
70.59,72.7,76.22,73.27
70.44,72.55,76.08,73.11
70.44,72.55,76.08,73.11
70.44,72.55,76.08,73.11
70.38,72.49,76.02,73.05
70.28,72.39,75.92,72.95
70.28,72.39,75.92,72.95
70.33,72.44,75.97,73
70.33,72.44,75.97,73
70.33,72.44,75.97,73
70.39,72.5,76.03,73.06
70.46,72.57,76.1,73.14
70.6,72.71,76.23,73.28
70.76,72.86,76.39,73.45
70.91,73.01,76.54,73.61
71,73.11,76.64,73.72
71,73.11,76.64,73.72
71.15,73.25,76.79,73.87
71.29,73.39,76.93,74.02
71.35,73.45,76.99,74.08
71.42,73.52,77.06,74.16
71.57,73.67,77.2,74.32
71.66,73.76,77.29,74.41
71.66,73.76,77.29,74.41
71.73,73.82,77.36,74.48
71.81,73.9,77.44,74.57
71.94,74.03,77.57,74.71
72.07,74.16,77.7,74.84
72.17,74.26,77.8,74.95
72.24,74.33,77.87,75.02
72.24,74.33,77.87,75.02
72.24,74.33,77.87,75.02
72.24,74.33,77.87,75.02
72.31,74.39,77.94,75.09
72.4,74.48,78.03,75.19
72.46,74.54,78.09,75.25
72.41,74.49,78.04,75.2
72.41,74.49,78.04,75.2
72.48,74.56,78.1,75.27
